channelcode,carnum1,carnum2,type,time,lane,dir,LNG,LAT
AjQbFdt8B1BHG132OQ2ULI,’„G,7A917EA1BAB60B87CCC5FB5C4DAC55FB,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132LMQF53,’„G,687D7FF327438004E9F49A3514A09C74,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132OQ2UFO,’„G,117201D30377DA5D23D719950B5D7EFB,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132M54SHR,’„C,1AEB698135941E73436B926328672940,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132LCA9NN,’„G,6A2CFFB2E5091B966C89C147E5BD855B,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132P1NCSC,’„G,0FEA8C14D51D8281616E72FF00E32D29,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132M7216I,’„G,6FD04CB71FFC63541C20EBFF5FC6B0CD,1,2019/12/20 0:00,0,,,
AjQbFdt8B1B5K31LD3NJNC,’„G,ED0F1E50A08DF0C7CAE92571946E3386,2,2019/12/20 0:00,2,0,,
AjQbFdt8B1BLO8VTG86Q1H,’„G,390D1059710A914FBBD4F25134B2E79F,52,2019/12/20 0:00,3,2,120.104,29.34
AjQbFdt8A1B7K06Q4AJ37T,’„G,350E0C5978493F49E4C2B288F7F2D84F,2,2019/12/20 0:00,2,3,,
AjQbFdt8A1BDJ7F0U7I7MN,’„G,1795C8AC34A050A0D6C74C68F090DFF4,2,2019/12/20 0:00,1,2,,
AjQbFdt8A1B9BQBJBJE72M,’„G,F93DB131978E2C9E3BE87159FDDDECC0,2,2019/12/20 0:00,3,0,,
AjQbFdt8B1BLO8VTK0G3EN,’„G,9AE1E21AC998029748A8A290D05C30DE,2,2019/12/20 0:00,1,2,,
AjQbFdt8B1BLO8VTFSO233,’„G,5D4B66119C15B66B84966111E1111159,52,2019/12/20 0:00,2,1,120.079,29.2953
